date,All models,Ram Ram Pickup,Chevrolet Silverado,Ford F-series,GMC Sierra,Toyota Tundra,Nissan Titan
1984-01,134264,134264,,,,,
1985-01,1281425,160574,436910,562507,121434,,
1986-01,1167729,106451,403510,544969,112799,,
1987-01,1139501,97670,375867,550125,115839,,
1988-01,1262021,82013,474208,564471,141329,,
1989-01,1270047,90302,490345,540739,148661,,
1990-01,1189702,87978,464668,495977,141079,,
1991-01,1040000,80176,404763,432644,122417,,
1992-01,900989,0,428514,472475,0,,
1993-01,1153286,95542,513348,544396,0,,
1994-01,1458576,232092,580445,646039,0,,
1995-01,1499854,271501,536901,691452,0,,
1996-01,1864184,383980,526960,780838,172406,,
1997-01,1849386,397257,534344,746111,171674,,
1998-01,1946437,410999,538254,836629,160555,,
1999-01,2185543,428930,636150,869001,208693,42769,
2000-01,2189061,380874,642119,876716,188907,100445,
2001-01,2291203,344538,716051,911597,210154,108863,
2002-01,2164659,396934,652646,813701,202045,99333,
2003-01,2279336,449371,684302,845586,196689,101316,2072
2004-01,2456656,426289,680768,939511,213756,112484,83848
2005-01,2450948,400543,705980,901463,229488,126529,86945
2006-01,2203721,364177,636069,796039,210736,124508,72192
2007-01,2137685,358295,618257,690589,208243,196555,65746
2008-01,1566264,245840,465065,515513,168544,137249,34053
2009-01,1117706,177268,316544,413625,111842,79385,19042
2010-01,1344655,199652,370135,528349,129794,93309,23416
2011-01,1498881,244762,415130,584917,149170,82908,21994
2012-01,1637373,293363,418312,645316,157185,101621,21576
2013-01,1912301,355673,480414,763402,184389,112732,15691
2014-01,2066248,439789,529755,753851,211833,118493,12527
2015-01,2187173,451116,600544,780354,224139,118880,12140
2016-01,2242282,487558,574876,820799,221680,115489,21880
2017-01,2370503,500723,585864,896764,217943,116285,52924
